name,full-name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first appearance,year,
galactic golem, (new earth),\/wiki\/galactic_golem_(new_earth),,bad characters,yellow eyes,,,,living characters,4,"1972, february",1972,
heggra, (new earth),\/wiki\/heggra_(new_earth),public identity,bad characters,black eyes,red hair,female characters,,living characters,4,"1972, march",1972,
iron jaws, (new earth),\/wiki\/iron_jaws_(new_earth),,good characters,,,male characters,,deceased characters,4,"1972, june",1972,
prime one, (new earth),\/wiki\/prime_one_(new_earth),public identity,good characters,,,male characters,,deceased characters,4,"1972, july",1972,
harold christos, (new earth),\/wiki\/harold_christos_(new_earth),,good characters,,brown hair,,,deceased characters,4,"1971, february",1971,
thaddeus brown, (new earth),\/wiki\/thaddeus_brown_(new_earth),,good characters,,,male characters,,deceased characters,4,"1971, april",1971,
thunderer the horse, (new earth),\/wiki\/thunderer_the_horse_(new_earth),,,,white hair,male characters,,living characters,4,"1971, november",1971,
"jason grant, jr.", (new earth),"\/wiki\/jason_grant,_jr._(new_earth)",public identity,good characters,,blond hair,male characters,,living characters,4,"1970, february",1970,
samuel wilson, (new earth),\/wiki\/samuel_wilson_(new_earth),public identity,good characters,,grey hair,male characters,,living characters,4,"1970, november",1970,
heller, (new earth),\/wiki\/heller_(new_earth),public identity,good characters,blue eyes,red hair,female characters,,living characters,4,"1969, october",1969,
jarvis kord, (new earth),\/wiki\/jarvis_kord_(new_earth),public identity,bad characters,,white hair,male characters,,deceased characters,4,"1967, august",1967,
thunderer, (new earth),\/wiki\/thunderer_(new_earth),,bad characters,,,male characters,,living characters,4,"1967, october",1967,
delbert billings, (new earth),\/wiki\/delbert_billings_(new_earth),,bad characters,blue eyes,brown hair,male characters,,deceased characters,4,"1966, december",1966,
eric bolton, (earth-one),\/wiki\/eric_bolton_(earth-one),,bad characters,,,male characters,,living characters,4,"1966, january",1966,
leonard fiasco, (new earth),\/wiki\/leonard_fiasco_(new_earth),,bad characters,,,male characters,,living characters,4,"1966, december",1966,
nicholas hunter, (new earth),\/wiki\/nicholas_hunter_(new_earth),public identity,good characters,blue eyes,red hair,male characters,,living characters,4,"1966, april",1966,
silken spider, (new earth),\/wiki\/silken_spider_(new_earth),secret identity,bad characters,brown eyes,black hair,female characters,,living characters,4,"1966, june",1966,
christine ferris, (new earth),\/wiki\/christine_ferris_(new_earth),public identity,good characters,,brown hair,female characters,,living characters,4,"1963, june",1963,
leron, (new earth),\/wiki\/leron_(new_earth),public identity,bad characters,,,male characters,,living characters,4,"1963, october",1963,
mophir, (new earth),\/wiki\/mophir_(new_earth),public identity,bad characters,,,male characters,,deceased characters,4,"1963, july",1963,
xebel, (new earth),\/wiki\/xebel_(new_earth),public identity,neutral characters,,grey hair,male characters,,living characters,4,"1963, october",1963,
z-1, (new earth),\/wiki\/z-1_(new_earth),public identity,bad characters,yellow eyes,,male characters,,living characters,4,"1963, may",1963,
mister poseidon, (new earth),\/wiki\/mister_poseidon_(new_earth),,bad characters,,,male characters,,living characters,4,"1961, december",1961,
samuel gordon, (new earth),\/wiki\/samuel_gordon_(new_earth),,good characters,blue eyes,brown hair,male characters,,living characters,4,"1961, october",1961,
victor bragg, (new earth),\/wiki\/victor_bragg_(new_earth),secret identity,bad characters,,,male characters,,living characters,4,"1960, may",1960,
"fred farrell, jr.", (new earth),"\/wiki\/fred_farrell,_jr._(new_earth)",public identity,good characters,black eyes,,male characters,,living characters,4,"1956, april",1956,
brane taylor, (new earth),\/wiki\/brane_taylor_(new_earth),secret identity,good characters,,blond hair,male characters,,living characters,4,"1951, october",1951,
black lightning the horse, (new earth),\/wiki\/black_lightning_the_horse_(new_earth),,,,white hair,male characters,,deceased characters,4,"1948, august",1948,
william tane, (new earth),\/wiki\/william_tane_(new_earth),public identity,good characters,,,male characters,,living characters,4,"1948, august",1948,
joseph coyne, (new earth),\/wiki\/joseph_coyne_(new_earth),,bad characters,,,male characters,,deceased characters,4,"1947, september",1947,
james slade, (new earth),\/wiki\/james_slade_(new_earth),secret identity,good characters,brown eyes,black hair,male characters,,deceased characters,4,"1941, february",1941,
negal, (new earth),\/wiki\/negal_(new_earth),,bad characters,,,male characters,,living characters,4,"1941, may",1941,
fernando suarez, (new earth),\/wiki\/fernando_suarez_(new_earth),,good characters,brown eyes,black hair,male characters,,living characters,4,"1940, january",1940,
solomon, (new earth),\/wiki\/solomon_(new_earth),public identity,good characters,,,male characters,,living characters,4,"1940, february",1940,
virgil adams, (new earth),\/wiki\/virgil_adams_(new_earth),public identity,bad characters,,black hair,male characters,,living characters,4,,,
rema, (new earth),\/wiki\/rema_(new_earth),,,,black hair,female characters,,living characters,4,,,
mora, (new earth),\/wiki\/mora_(new_earth),,,,blond hair,female characters,,living characters,4,,,
venus, (new earth),\/wiki\/venus_(new_earth),,good characters,,,female characters,,living characters,4,,,
ragnar, (green lantern animated series),\/wiki\/ragnar_(green_lantern_animated_series),public identity,bad characters,,,male characters,,living characters,3,"2012, march",2012,
adrasteia, (new earth),\/wiki\/adrasteia_(new_earth),public identity,good characters,green eyes,red hair,female characters,,deceased characters,3,"2011, january",2011,
aleister golden, (new earth),\/wiki\/aleister_golden_(new_earth),public identity,bad characters,black eyes,blond hair,male characters,,living characters,3,"2011, january",2011,
alexandra gianopoulos, (new earth),\/wiki\/alexandra_gianopoulos_(new_earth),public identity,good characters,brown eyes,black hair,female characters,,living characters,3,"2011, august",2011,
annie palmer, (new earth),\/wiki\/annie_palmer_(new_earth),,,,brown hair,female characters,,living characters,3,"2011, june",2011,
cameron kane, (new earth),\/wiki\/cameron_kane_(new_earth),public identity,good characters,,black hair,male characters,,living characters,3,"2011, september",2011,
david zavimbi, (new earth),\/wiki\/david_zavimbi_(new_earth),secret identity,good characters,brown eyes,black hair,male characters,,living characters,3,"2011, may",2011,
galenthias, (new earth),\/wiki\/galenthias_(new_earth),public identity,good characters,green eyes,black hair,female characters,,living characters,3,"2011, january",2011,
inertia ii, (new earth),\/wiki\/inertia_ii_(new_earth),secret identity,bad characters,,blond hair,male characters,,living characters,3,"2011, september",2011,
janosz valentin, (new earth),\/wiki\/janosz_valentin_(new_earth),,bad characters,,black hair,male characters,,living characters,3,"2011, april",2011,
jay young, (new earth),\/wiki\/jay_young_(new_earth),secret identity,neutral characters,,blond hair,male characters,,deceased characters,3,"2011, september",2011,
jennifer blitz, (new earth),\/wiki\/jennifer_blitz_(new_earth),secret identity,bad characters,,blond hair,female characters,,living characters,3,"2011, august",2011,
martin mayne, (new earth),\/wiki\/martin_mayne_(new_earth),public identity,,brown eyes,white hair,male characters,,living characters,3,"2011, august",2011,
mimic, (new earth),\/wiki\/mimic_(new_earth),secret identity,bad characters,,,male characters,,living characters,3,"2011, february",2011,
miranda shrieve, (new earth),\/wiki\/miranda_shrieve_(new_earth),,good characters,,brown hair,female characters,,living characters,3,"2011, august",2011,
nina mazursky, (new earth),\/wiki\/nina_mazursky_(new_earth),secret identity,good characters,white eyes,,female characters,,living characters,3,"2011, august",2011,
qurina vint, (new earth),\/wiki\/qurina_vint_(new_earth),public identity,good characters,green eyes,purple hair,female characters,,living characters,3,"2011, august",2011,
tracey graham, (new earth),\/wiki\/tracey_graham_(new_earth),secret identity,bad characters,,brown hair,female characters,,living characters,3,"2011, june",2011,
una nemo, (new earth),\/wiki\/una_nemo_(new_earth),public identity,bad characters,green eyes,black hair,female characters,,living characters,3,"2011, january",2011,
william miggs, (new earth),\/wiki\/william_miggs_(new_earth),public identity,bad characters,blue eyes,,male characters,,living characters,3,"2011, august",2011,
abraham pointe, (new earth),\/wiki\/abraham_pointe_(new_earth),public identity,neutral characters,,blond hair,male characters,,living characters,3,"2010, september",2010,
allegra garcia, (new earth),\/wiki\/allegra_garcia_(new_earth),public identity,bad characters,gold eyes,,female characters,,living characters,3,"2010, december",2010,
alton janus, (new earth),\/wiki\/alton_janus_(new_earth),secret identity,good characters,blue eyes,white hair,male characters,,living characters,3,"2010, october",2010,
astarte, (new earth),\/wiki\/astarte_(new_earth),,bad characters,blue eyes,blond hair,female characters,,living characters,3,"2010, may",2010,
car-vex, (new earth),\/wiki\/car-vex_(new_earth),public identity,bad characters,,brown hair,female characters,,living characters,3,"2010, may",2010,
cybele sahin, (new earth),\/wiki\/cybele_sahin_(new_earth),,bad characters,,black hair,female characters,,living characters,3,"2010, april",2010,
death dinosaur, (new earth),\/wiki\/death_dinosaur_(new_earth),,bad characters,,,male characters,,living characters,3,"2010, december",2010,
divine, (new earth),\/wiki\/divine_(new_earth),secret identity,bad characters,blue eyes,black hair,female characters,,living characters,3,"2010, november",2010,
doctor demon, (new earth),\/wiki\/doctor_demon_(new_earth),,bad characters,,blond hair,female characters,,living characters,3,"2010, april",2010,
doll face, (new earth),\/wiki\/doll_face_(new_earth),secret identity,bad characters,green eyes,blond hair,female characters,,living characters,3,"2010, december",2010,
durvella cwion, (new earth),\/wiki\/durvella_cwion_(new_earth),public identity,neutral characters,blue eyes,blond hair,female characters,,living characters,3,"2010, december",2010,
dust devil, (new earth),\/wiki\/dust_devil_(new_earth),secret identity,bad characters,,black hair,female characters,,living characters,3,"2010, april",2010,
hammer ii, (new earth),\/wiki\/hammer_ii_(new_earth),secret identity,good characters,,,male characters,,living characters,3,"2010, december",2010,
hunter ii, (new earth),\/wiki\/hunter_ii_(new_earth),,bad characters,,red hair,male characters,,living characters,3,"2010, april",2010,
jarvis poker, (new earth),\/wiki\/jarvis_poker_(new_earth),public identity,bad characters,,purple hair,male characters,,deceased characters,3,"2010, december",2010,
jock, (new earth),\/wiki\/jock_(new_earth),secret identity,bad characters,,red hair,male characters,,living characters,3,"2010, december",2010,
lucius, (new earth),\/wiki\/lucius_(new_earth),public identity,bad characters,,blond hair,male characters,,deceased characters,3,"2010, september",2010,
mechanic, (new earth),\/wiki\/mechanic_(new_earth),secret identity,,,,male characters,,living characters,3,"2010, december",2010,
meershom, (new earth),\/wiki\/meershom_(new_earth),public identity,bad characters,,,male characters,,deceased characters,3,"2010, january",2010,
mudslide, (new earth),\/wiki\/mudslide_(new_earth),secret identity,bad characters,,,male characters,,living characters,3,"2010, april",2010,
nix, (new earth),\/wiki\/nix_(new_earth),secret identity,bad characters,,black hair,female characters,,living characters,3,"2010, november",2010,
oracle, (new earth),\/wiki\/oracle_(new_earth),secret identity,good characters,white eyes,blond hair,female characters,,living characters,3,"2010, august",2010,
quex-ul, (new earth),\/wiki\/quex-ul_(new_earth),public identity,bad characters,,white hair,male characters,,deceased characters,3,"2010, may",2010,
sac, (new earth),\/wiki\/sac_(new_earth),secret identity,bad characters,blue eyes,black hair,male characters,,living characters,3,"2010, january",2010,
salt of the earth, (new earth),\/wiki\/salt_of_the_earth_(new_earth),secret identity,good characters,,brown hair,male characters,,living characters,3,"2010, december",2010,
shane thompson, (new earth),\/wiki\/shane_thompson_(new_earth),public identity,good characters,,,male characters,,living characters,3,"2010, december",2010,
tender mercy, (new earth),\/wiki\/tender_mercy_(new_earth),public identity,bad characters,,blue hair,female characters,,deceased characters,3,"2010, april",2010,
wolf, (new earth),\/wiki\/wolf_(new_earth),secret identity,bad characters,black eyes,brown hair,male characters,,living characters,3,"2010, february",2010,
zadar, (new earth),\/wiki\/zadar_(new_earth),secret identity,bad characters,,black hair,male characters,,living characters,3,"2010, july",2010,
big top, (new earth),\/wiki\/big_top_(new_earth),,bad characters,,,male characters,,living characters,3,"2009, august",2009,
brown recluse, (new earth),\/wiki\/brown_recluse_(new_earth),secret identity,bad characters,,black hair,male characters,,deceased characters,3,"2009, august",2009,
ermey, (new earth),\/wiki\/ermey_(new_earth),public identity,good characters,,red hair,male characters,,deceased characters,3,"2009, september",2009,
fly lord, (new earth),\/wiki\/fly_lord_(new_earth),secret identity,bad characters,,,male characters,,deceased characters,3,"2009, october",2009,
gabrielle kane, (new earth),\/wiki\/gabrielle_kane_(new_earth),public identity,good characters,green eyes,blond hair,female characters,,deceased characters,3,"2009, september",2009,
homunculus, (new earth),\/wiki\/homunculus_(new_earth),secret identity,bad characters,,,male characters,,living characters,3,"2009, november",2009,
kushti, (new earth),\/wiki\/kushti_(new_earth),,bad characters,,,male characters,,living characters,3,"2009, august",2009,
leonard ruttman, (new earth),\/wiki\/leonard_ruttman_(new_earth),public identity,bad characters,,brown hair,male characters,,deceased characters,3,"2009, november",2009,
maelstrom, (new earth),\/wiki\/maelstrom_(new_earth),public identity,bad characters,,black hair,female characters,,living characters,3,"2009, january",2009,
miss army knife, (new earth),\/wiki\/miss_army_knife_(new_earth),secret identity,bad characters,,,female characters,,deceased characters,3,"2009, august",2009,
persephone ii, (new earth),\/wiki\/persephone_ii_(new_earth),public identity,good characters,blue eyes,white hair,female characters,,living characters,3,"2009, august",2009,
phoney baloney, (new earth),\/wiki\/phoney_baloney_(new_earth),secret identity,bad characters,,,male characters,,deceased characters,3,"2009, august",2009,
ral-dar, (new earth),\/wiki\/ral-dar_(new_earth),public identity,bad characters,grey eyes,blond hair,male characters,,living characters,3,"2009, september",2009,
rumble iii, (new earth),\/wiki\/rumble_iii_(new_earth),secret identity,bad characters,,,male characters,,living characters,3,"2009, september",2009,
shor, (new earth),\/wiki\/shor_(new_earth),,neutral characters,,black hair,female characters,,living characters,3,"2009, may",2009,
shuja, (new earth),\/wiki\/shuja_(new_earth),public identity,good characters,brown eyes,black hair,male characters,,living characters,3,"2009, november",2009,
skwaul, (new earth),\/wiki\/skwaul_(new_earth),public identity,bad characters,,,male characters,,deceased characters,3,"2009, april",2009,
tanimin, (new earth),\/wiki\/tanimin_(new_earth),secret identity,bad characters,,black hair,female characters,,deceased characters,3,"2009, october",2009,
tor-an, (new earth),\/wiki\/tor-an_(new_earth),,bad characters,,brown hair,male characters,,deceased characters,3,"2009, may",2009,
underhand, (new earth),\/wiki\/underhand_(new_earth),secret identity,bad characters,,black hair,male characters,,living characters,3,"2009, november",2009,
victor goodman, (new earth),\/wiki\/victor_goodman_(new_earth),secret identity,bad characters,,,male characters,,living characters,3,"2009, april",2009,
abyssma, (new earth),\/wiki\/abyssma_(new_earth),,bad characters,white eyes,,male characters,,living characters,3,"2008, january",2008,
adeline prescott, (new earth),\/wiki\/adeline_prescott_(new_earth),public identity,good characters,brown eyes,brown hair,female characters,,living characters,3,"2008, may",2008,
adept, (new earth),\/wiki\/adept_(new_earth),secret identity,good characters,,,male characters,,living characters,3,"2008, may",2008,
apalala, (new earth),\/wiki\/apalala_(new_earth),public identity,good characters,,,male characters,,living characters,3,"2008, may",2008,
brazen man, (new earth),\/wiki\/brazen_man_(new_earth),secret identity,good characters,,,male characters,,living characters,3,"2008, may",2008,
civet, (new earth),\/wiki\/civet_(new_earth),secret identity,good characters,,brown hair,male characters,,living characters,3,"2008, may",2008,
doctor aesop, (new earth),\/wiki\/doctor_aesop_(new_earth),,bad characters,,grey hair,male characters,,living characters,3,"2008, september",2008,
fairy queen, (new earth),\/wiki\/fairy_queen_(new_earth),secret identity,good characters,green eyes,blond hair,female characters,,living characters,3,"2008, may",2008,
gwendoline harper, (new earth),\/wiki\/gwendoline_harper_(new_earth),public identity,good characters,blue eyes,blond hair,female characters,,living characters,3,"2008, december",2008,
joshua walker, (new earth),\/wiki\/joshua_walker_(new_earth),secret identity,bad characters,green eyes,white hair,male characters,,living characters,3,"2008, june",2008,
killer shark ii, (new earth),\/wiki\/killer_shark_ii_(new_earth),secret identity,bad characters,,,male characters,,living characters,3,"2008, march",2008,
magus eximus, (new earth),\/wiki\/magus_eximus_(new_earth),,good characters,,,male characters,,deceased characters,3,"2008, may",2008,
miss poltergeist, (new earth),\/wiki\/miss_poltergeist_(new_earth),secret identity,good characters,white eyes,purple hair,female characters,,living characters,3,"2008, may",2008,
mister meteor, (new earth),\/wiki\/mister_meteor_(new_earth),secret identity,good characters,,,male characters,,living characters,3,"2008, may",2008,
moe blum, (new earth),\/wiki\/moe_blum_(new_earth),,bad characters,,,male characters,,living characters,3,"2008, april",2008,
palmer cokes, (new earth),\/wiki\/palmer_cokes_(new_earth),,bad characters,,black hair,male characters,,living characters,3,"2008, october",2008,
repro, (new earth),\/wiki\/repro_(new_earth),secret identity,bad characters,blue eyes,blond hair,male characters,,deceased characters,3,"2008, june",2008,
revenant, (new earth),\/wiki\/revenant_(new_earth),secret identity,good characters,,,male characters,,living characters,3,"2008, may",2008,
sardonyxx, (new earth),\/wiki\/sardonyxx_(new_earth),public identity,good characters,green eyes,red hair,female characters,,living characters,3,"2008, may",2008,
acheron, (new earth),\/wiki\/acheron_(new_earth),,good characters,yellow eyes,black hair,male characters,,living characters,3,"2007, april",2007,
ampa nnn, (new earth),\/wiki\/ampa_nnn_(new_earth),public identity,bad characters,,,male characters,,living characters,3,"2007, august",2007,
bizarro flash, (new earth),\/wiki\/bizarro_flash_(new_earth),secret identity,bad characters,,,male characters,,living characters,3,"2007, november",2007,
bizarro wonder woman, (new earth),\/wiki\/bizarro_wonder_woman_(new_earth),secret identity,bad characters,,black hair,female characters,,living characters,3,"2007, november",2007,
blitzkrieg, (new earth),\/wiki\/blitzkrieg_(new_earth),secret identity,bad characters,blue eyes,blond hair,female characters,,living characters,3,"2007, june",2007,
cheater, (new earth),\/wiki\/cheater_(new_earth),secret identity,bad characters,,blond hair,male characters,,living characters,3,"2007, september",2007,
haasp, (new earth),\/wiki\/haasp_(new_earth),,bad characters,,,male characters,,living characters,3,"2007, august",2007,
jackanapes, (new earth),\/wiki\/jackanapes_(new_earth),secret identity,bad characters,brown eyes,black hair,male characters,,living characters,3,"2007, july",2007,
karna, (new earth),\/wiki\/karna_(new_earth),,bad characters,brown eyes,black hair,female characters,,living characters,3,"2007, august",2007,
karsta wor-ul, (new earth),\/wiki\/karsta_wor-ul_(new_earth),secret identity,good characters,green eyes,red hair,female characters,,living characters,3,"2007, december",2007,
setag retss, (new earth),\/wiki\/setag_retss_(new_earth),,bad characters,,,male characters,,living characters,3,"2007, august",2007,
sirket, (new earth),\/wiki\/sirket_(new_earth),,bad characters,,,male characters,,living characters,3,"2007, august",2007,
steppe, (new earth),\/wiki\/steppe_(new_earth),,good characters,,,male characters,,deceased characters,3,"2007, december",2007,
swastika, (new earth),\/wiki\/swastika_(new_earth),secret identity,bad characters,,,male characters,,living characters,3,"2007, march",2007,
alina, (new earth),\/wiki\/alina_(new_earth),public identity,,,,female characters,,living characters,3,"2006, september",2006,
carolyn llewellyn, (new earth),\/wiki\/carolyn_llewellyn_(new_earth),public identity,neutral characters,green eyes,,female characters,,living characters,3,"2006, october",2006,
chen nuo, (new earth),\/wiki\/chen_nuo_(new_earth),secret identity,good characters,black eyes,black hair,male characters,,living characters,3,"2006, june",2006,
devem, (new earth),\/wiki\/devem_(new_earth),,,,brown hair,male characters,,living characters,3,"2006, may",2006,
eliza harmon, (new earth),\/wiki\/eliza_harmon_(new_earth),public identity,good characters,brown eyes,brown hair,female characters,,deceased characters,3,"2006, august",2006,
erik gavlin, (new earth),\/wiki\/erik_gavlin_(new_earth),,,green eyes,blond hair,male characters,,deceased characters,3,"2006, june",2006,
fishy, (new earth),\/wiki\/fishy_(new_earth),,neutral characters,black eyes,,male characters,,living characters,3,"2006, september",2006,
goldilocks, (new earth),\/wiki\/goldilocks_(new_earth),secret identity,bad characters,green eyes,blond hair,female characters,,living characters,3,"2006, june",2006,
hu wei, (new earth),\/wiki\/hu_wei_(new_earth),secret identity,bad characters,white eyes,white hair,male characters,,deceased characters,3,"2006, december",2006,
jared walton, (new earth),\/wiki\/jared_walton_(new_earth),public identity,good characters,,brown hair,male characters,,living characters,3,"2006, november",2006,
komrade krabb, (new earth),\/wiki\/komrade_krabb_(new_earth),,bad characters,,,male characters,,living characters,3,"2006, november",2006,
krydel-4, (new earth),\/wiki\/krydel-4_(new_earth),public identity,good characters,green eyes,,male characters,,living characters,3,"2006, august",2006,
krystal, (new earth),\/wiki\/krystal_(new_earth),secret identity,,,black hair,female characters,,deceased characters,3,"2006, september",2006,
lady liberty iv, (new earth),\/wiki\/lady_liberty_iv_(new_earth),secret identity,bad characters,,black hair,female characters,,deceased characters,3,"2006, june",2006,
mabel martin, (new earth),\/wiki\/mabel_martin_(new_earth),,neutral characters,green eyes,blond hair,female characters,,living characters,3,"2006, october",2006,
natas, (new earth),\/wiki\/natas_(new_earth),secret identity,bad characters,,,male characters,,living characters,3,"2006, november",2006,
ragnar, (new earth),\/wiki\/ragnar_(new_earth),public identity,bad characters,,,male characters,,deceased characters,3,"2006, august",2006,
ronald edwards, (new earth),\/wiki\/ronald_edwards_(new_earth),,neutral characters,,white hair,male characters,,living characters,3,"2006, september",2006,
sister shadow, (new earth),\/wiki\/sister_shadow_(new_earth),secret identity,bad characters,,white hair,female characters,,living characters,3,"2006, july",2006,
theodore gavlin, (new earth),\/wiki\/theodore_gavlin_(new_earth),,,blue eyes,grey hair,male characters,,deceased characters,3,"2006, june",2006,
venus sivana, (new earth),\/wiki\/venus_sivana_(new_earth),public identity,,blue eyes,blond hair,female characters,,living characters,3,"2006, november",2006,
barnard blaine, (new earth),\/wiki\/barnard_blaine_(new_earth),secret identity,good characters,,grey hair,male characters,,living characters,3,"2005, november",2005,
blue of the rainbow raiders, (new earth),\/wiki\/blue_of_the_rainbow_raiders_(new_earth),secret identity,bad characters,,,male characters,,deceased characters,3,"2005, february",2005,
clarence mcmullen, (new earth),\/wiki\/clarence_mcmullen_(new_earth),public identity,bad characters,,black hair,male characters,,living characters,3,"2005, february",2005,
gas bag, (new earth),\/wiki\/gas_bag_(new_earth),secret identity,bad characters,,,male characters,,deceased characters,3,"2005, february",2005,
green of the rainbow raiders, (new earth),\/wiki\/green_of_the_rainbow_raiders_(new_earth),secret identity,bad characters,,,female characters,,deceased characters,3,"2005, february",2005,
indigo of the rainbow raiders, (new earth),\/wiki\/indigo_of_the_rainbow_raiders_(new_earth),secret identity,bad characters,,,male characters,,deceased characters,3,"2005, february",2005,
jacqueline pemberton, (new earth),\/wiki\/jacqueline_pemberton_(new_earth),public identity,good characters,green eyes,red hair,female characters,,deceased characters,3,"2005, april",2005,
louisa falcone, (new earth),\/wiki\/louisa_falcone_(new_earth),,bad characters,,black hair,female characters,,living characters,3,"2005, february",2005,
orange of the rainbow raiders, (new earth),\/wiki\/orange_of_the_rainbow_raiders_(new_earth),secret identity,bad characters,,,male characters,,deceased characters,3,"2005, february",2005,
praetor, (new earth),\/wiki\/praetor_(new_earth),public identity,good characters,,,female characters,,living characters,3,"2005, september",2005,
queen of spades iii, (new earth),\/wiki\/queen_of_spades_iii_(new_earth),,bad characters,,black hair,female characters,,living characters,3,"2005, october",2005,
red of the rainbow raiders, (new earth),\/wiki\/red_of_the_rainbow_raiders_(new_earth),secret identity,bad characters,,red hair,male characters,,deceased characters,3,"2005, february",2005,
splitshot, (new earth),\/wiki\/splitshot_(new_earth),secret identity,bad characters,,,male characters,,living characters,3,"2005, october",2005,
stanley baumgarten, (new earth),\/wiki\/stanley_baumgarten_(new_earth),secret identity,bad characters,,,male characters,,living characters,3,"2005, april",2005,
tagort, (new earth),\/wiki\/tagort_(new_earth),,good characters,blue eyes,,male characters,,living characters,3,"2005, december",2005,
tarkus whin, (new earth),\/wiki\/tarkus_whin_(new_earth),,good characters,,,male characters,,deceased characters,3,"2005, november",2005,
violet of the rainbow raiders, (new earth),\/wiki\/violet_of_the_rainbow_raiders_(new_earth),secret identity,bad characters,,purple hair,female characters,,deceased characters,3,"2005, february",2005,
megalith, (new earth),\/wiki\/megalith_(new_earth),secret identity,bad characters,red eyes,,male characters,,living characters,3,"2004, august",2004,
todd martin, (new earth),\/wiki\/todd_martin_(new_earth),,bad characters,blue eyes,blond hair,male characters,,living characters,3,"2004, september",2004,
alexander petrov, (new earth),\/wiki\/alexander_petrov_(new_earth),secret identity,bad characters,black eyes,black hair,male characters,,deceased characters,3,"2003, november",2003,
chad solomon kiyahani, (new earth),\/wiki\/chad_solomon_kiyahani_(new_earth),public identity,good characters,,black hair,male characters,,living characters,3,"2003, july",2003,
charles graham, (new earth),\/wiki\/charles_graham_(new_earth),public identity,good characters,,,male characters,,living characters,3,"2003, october",2003,
colin mitchell, (new earth),\/wiki\/colin_mitchell_(new_earth),public identity,good characters,,red hair,male characters,,living characters,3,"2003, july",2003,
david page, (new earth),\/wiki\/david_page_(new_earth),public identity,good characters,,red hair,male characters,,living characters,3,"2003, july",2003,
erasmus rayne, (new earth),\/wiki\/erasmus_rayne_(new_earth),,bad characters,,,male characters,,deceased characters,3,"2003, july",2003,
eric stewart, (new earth),\/wiki\/eric_stewart_(new_earth),,good characters,,blond hair,male characters,,living characters,3,"2003, july",2003,
harlan combs, (new earth),\/wiki\/harlan_combs_(new_earth),secret identity,bad characters,,brown hair,male characters,,living characters,3,"2003, march",2003,
helen shepherd, (new earth),\/wiki\/helen_shepherd_(new_earth),,bad characters,blue eyes,blond hair,female characters,,living characters,3,"2003, june",2003,
michael sommers, (new earth),\/wiki\/michael_sommers_(new_earth),public identity,bad characters,,black hair,male characters,,living characters,3,"2003, february",2003,
quentin galloway, (new earth),\/wiki\/quentin_galloway_(new_earth),,neutral characters,,,male characters,,living characters,3,"2003, december",2003,
rajak darkraven, (new earth),\/wiki\/rajak_darkraven_(new_earth),public identity,bad characters,brown eyes,black hair,male characters,,living characters,3,"2003, february",2003,
remnant, (new earth),\/wiki\/remnant_(new_earth),secret identity,bad characters,,,male characters,,living characters,3,"2003, january",2003,
xenon, (new earth),\/wiki\/xenon_(new_earth),secret identity,bad characters,red eyes,white hair,male characters,,living characters,3,"2003, february",2003,
zaius, (new earth),\/wiki\/zaius_(new_earth),public identity,good characters,,,male characters,,living characters,3,"2003, august",2003,
agrippina, (new earth),\/wiki\/agrippina_(new_earth),secret identity,bad characters,,blue hair,female characters,,deceased characters,3,"2002, september",2002,
hallucinatra, (new earth),\/wiki\/hallucinatra_(new_earth),secret identity,bad characters,red eyes,white hair,male characters,,living characters,3,"2002, august",2002,
jack spheer, (new earth),\/wiki\/jack_spheer_(new_earth),public identity,bad characters,,grey hair,male characters,,living characters,3,"2002, september",2002,
mammitu, (new earth),\/wiki\/mammitu_(new_earth),,,,,female characters,,living characters,3,"2002, january",2002,
snake girl, (new earth),\/wiki\/snake_girl_(new_earth),secret identity,good characters,blue eyes,brown hair,female characters,,living characters,3,"2002, november",2002,
bizarro supergirl, (new earth),\/wiki\/bizarro_supergirl_(new_earth),,neutral characters,,,female characters,,living characters,3,"2001, november",2001,
carnivora, (new earth),\/wiki\/carnivora_(new_earth),,bad characters,white eyes,purple hair,female characters,,deceased characters,3,"2001, december",2001,
faora hu-ul, (new earth),\/wiki\/faora_hu-ul_(new_earth),public identity,bad characters,,brown hair,female characters,,living characters,3,"2001, april",2001,
kafka, (new earth),\/wiki\/kafka_(new_earth),,bad characters,,,,,living characters,3,"2001, december",2001,
pamela, (new earth),\/wiki\/pamela_(new_earth),secret identity,,brown eyes,black hair,female characters,,living characters,3,"2001, march",2001,
rampotatek, (new earth),\/wiki\/rampotatek_(new_earth),public identity,neutral characters,brown eyes,blue hair,male characters,,living characters,3,"2001, march",2001,
santa klaus, (new earth),\/wiki\/santa_klaus_(new_earth),secret identity,bad characters,,,male characters,,living characters,3,"2001, december",2001,
theta, (new earth),\/wiki\/theta_(new_earth),secret identity,bad characters,brown eyes,blond hair,female characters,,living characters,3,"2001, september",2001,
alcmaeon, (new earth),\/wiki\/alcmaeon_(new_earth),,neutral characters,black eyes,black hair,male characters,,deceased characters,3,"2000, july",2000,
banner, (new earth),\/wiki\/banner_(new_earth),secret identity,bad characters,blue eyes,blond hair,male characters,,living characters,3,"2000, march",2000,
benito gallo, (new earth),\/wiki\/benito_gallo_(new_earth),public identity,bad characters,,white hair,male characters,,deceased characters,3,"2000, march",2000,
