name,full-name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first appearance,year
victor cochran, (earth-616),\/victor_cochran_(earth-616),secret identity,bad characters,,black hair,male characters,,deceased characters,4,Jul-76,1976
vira, (earth-616),\/vira_(tode)_(earth-616),no dual identity,,,,female characters,,living characters,4,Jul-76,1976
abel stack, (earth-616),\/abel_stack_(earth-616),no dual identity,good characters,blue eyes,brown hair,male characters,,living characters,4,Jul-77,1977
burgundy, (earth-616),\/burgundy_(power_man_ally)_(earth-616),,good characters,brown eyes,black hair,female characters,,living characters,4,May-77,1977
capricorn, (earth-616),\/capricorn_(lmd)_(earth-616),secret identity,bad characters,,,male characters,,living characters,4,Aug-77,1977
charles delazny sr., (earth-616),\/charles_delazny_sr._(earth-616),,,,black hair,male characters,,living characters,4,Feb-77,1977
fee-lon, (earth-616),\/fee-lon_(earth-616),public identity,,,brown hair,male characters,,living characters,4,Mar-77,1977
jakarra, (earth-616),\/jakarra_(earth-616),secret identity,,red eyes,bald,male characters,,living characters,4,Nov-77,1977
judy parks, (earth-616),\/judy_parks_(earth-616),,,,,female characters,,living characters,4,Apr-77,1977
kur, (earth-616),\/kur_(earth-616),,bad characters,,,male characters,,living characters,4,Feb-77,1977
lynn anderson, (earth-616),\/lynn_anderson_(earth-616),,,,,female characters,,living characters,4,May-77,1977
pisces, (earth-616),\/pisces_(female_lmd)_(earth-616),,,,blond hair,female characters,,living characters,4,Aug-77,1977
pisces, (earth-616),\/pisces_(lmd)_(earth-616),secret identity,bad characters,,blond hair,female characters,,living characters,4,Aug-77,1977
zarin, (earth-616),\/zarin_(eternal)_(earth-616),secret identity,neutral characters,blue eyes,,male characters,,living characters,4,May-77,1977
zirksu, (earth-616),\/zirksu_(earth-616),secret identity,bad characters,green eyes,no hair,male characters,,living characters,4,Apr-77,1977
con ticci viracocha, (earth-616),\/con_ticci_viracocha_(earth-616),secret identity,good characters,,,male characters,,living characters,4,Sep-78,1978
eugene everett, (earth-616),\/eugene_everett_(earth-616),,,,black hair,male characters,,living characters,4,Mar-78,1978
factor-x, (earth-616),\/factor-x_(earth-616),,bad characters,,,male characters,,living characters,4,Jul-78,1978
jason beere, (earth-616),\/jason_beere_(earth-616),,bad characters,brown eyes,brown hair,male characters,,living characters,4,Mar-78,1978
joshua itobo, (earth-616),\/joshua_itobo_(earth-616),public identity,good characters,,black hair,male characters,,living characters,4,Jan-78,1978
khanata, (earth-616),\/khanata_(earth-616),public identity,,brown eyes,black hair,male characters,,living characters,4,Mar-78,1978
kogar, (earth-616),\/kogar_(earth-616),secret identity,bad characters,brown eyes,black hair,male characters,,living characters,4,Jul-78,1978
krollar, (earth-616),\/krollar_(earth-616),,bad characters,,no hair,male characters,,deceased characters,4,Jul-78,1978
lord gaea, (earth-616),\/lord_gaea_(earth-616),,bad characters,,no hair,male characters,,living characters,4,Nov-78,1978
miles brickman, (earth-616),\/miles_brickman_(earth-616),public identity,neutral characters,,black hair,male characters,,living characters,4,Oct-78,1978
phillip garcia, (earth-616),\/phillip_garcia_(earth-616),public identity,bad characters,brown eyes,black hair,male characters,,living characters,4,Aug-78,1978
rhiahn, (earth-616),\/rhiahn_(earth-616),,bad characters,one eye,,male characters,,deceased characters,4,Jul-78,1978
tabur, (earth-616),\/tabur_(earth-616),secret identity,good characters,,,male characters,,living characters,4,Jun-78,1978
alfeo spinosa, (earth-616),\/alfeo_spinosa_(earth-616),,good characters,,black hair,male characters,,living characters,4,Dec-79,1979
eyekillers, (earth-616),\/eyekillers_(earth-616),secret identity,bad characters,,,,,living characters,4,Dec-79,1979
odysseus, (earth-616),\/odysseus_(earth-616),,neutral characters,,brown hair,male characters,,deceased characters,4,Nov-79,1979
pamela quinn, (earth-616),\/pamela_quinn_(earth-616),public identity,good characters,,blond hair,female characters,,living characters,4,Oct-79,1979
patroclus, (earth-616),\/patroclus_(earth-616),public identity,,,blond hair,male characters,,living characters,4,Nov-79,1979
tisha scarabeus, (earth-616),\/tisha_scarabeus_(earth-616),public identity,,,,female characters,,living characters,4,Jun-79,1979
vassily khandruvitch, (earth-616),\/vassily_khandruvitch_(earth-616),no dual identity,,,grey hair,male characters,,living characters,4,Oct-79,1979
watoomb, (earth-616),\/watoomb_(earth-616),,neutral characters,,no hair,male characters,,living characters,4,Apr-79,1979
"william evans, jr.", (earth-616),"\/william_evans,_jr._(earth-616)",public identity,good characters,brown eyes,black hair,male characters,,deceased characters,4,Feb-79,1979
azaziah, (earth-616),\/azaziah_(earth-616),secret identity,bad characters,blue eyes,white hair,male characters,,living characters,4,Apr-80,1980
dominic tyrone, (earth-616),\/dominic_tyrone_(earth-616),secret identity,bad characters,blue eyes,black hair,male characters,,deceased characters,4,Aug-80,1980
fasolt, (earth-616),\/fasolt_(earth-616),,bad characters,,black hair,male characters,,living characters,4,Apr-80,1980
hestia, (earth-616),\/hestia_(earth-616),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,4,Nov-80,1980
itzamna, (earth-616),\/itzamna_(earth-616),,,,,,,living characters,4,Oct-80,1980
jack wordman, (earth-616),\/jack_wordman_(earth-616),public identity,bad characters,,grey hair,male characters,,living characters,4,Oct-80,1980
lorenzo jacobi, (earth-616),\/lorenzo_jacobi_(earth-616),public identity,bad characters,,grey hair,male characters,,deceased characters,4,Feb-80,1980
morgan hardy, (earth-616),\/morgan_hardy_(earth-616),secret identity,bad characters,,,male characters,,living characters,4,Dec-80,1980
narda ravanna, (earth-616),\/narda_ravanna_(earth-616),public identity,bad characters,blue eyes,brown hair,female characters,,living characters,4,Jun-80,1980
shialmar, (earth-616),\/shialmar_(earth-616),,bad characters,brown eyes,black hair,female characters,,deceased characters,4,Oct-80,1980
solace, (earth-616),\/solace_(earth-616),,neutral characters,,,male characters,,living characters,4,Aug-80,1980
sylvester marston, (earth-616),\/sylvester_marston_(earth-616),public identity,bad characters,blue eyes,black hair,male characters,,living characters,4,Aug-80,1980
tran coy manh, (earth-616),\/tran_coy_manh_(earth-616),,bad characters,,black hair,male characters,,deceased characters,4,Dec-80,1980
ukko, (earth-616),\/ukko_(earth-616),,,,,male characters,,living characters,4,Oct-80,1980
wartstaff, (earth-616),\/wartstaff_(earth-616),,bad characters,,,male characters,,deceased characters,4,Jan-80,1980
annie richardson, (earth-616),\/annie_richardson_(earth-616),no dual identity,neutral characters,,brown hair,female characters,,deceased characters,4,Jul-81,1981
anton mogart, (earth-616),\/anton_mogart_(earth-616),,bad characters,,black hair,male characters,,living characters,4,Jan-81,1981
arlok, (earth-616),\/arlok_(earth-616),no dual identity,good characters,,black hair,male characters,,deceased characters,4,Jul-81,1981
astra, (earth-616),\/astra_(spaceknight)_(earth-616),secret identity,good characters,,,female characters,,living characters,4,Dec-81,1981
battleaxe, (earth-616),\/battleaxe_(earth-616),no dual identity,bad characters,,,male characters,,deceased characters,4,Nov-81,1981
emma burstein, (earth-616),\/emma_burstein_(earth-616),public identity,good characters,,white hair,female characters,,living characters,4,Feb-81,1981
grotto, (earth-616),\/grotto_(earth-616),public identity,bad characters,,,male characters,,living characters,4,Jan-81,1981
hammerhand, (earth-616),\/hammerhand_(spaceknights)_(earth-616),,good characters,,,male characters,,living characters,4,Dec-81,1981
heinrich krowler, (earth-616),\/heinrich_krowler_(earth-616),public identity,bad characters,,bald,male characters,,living characters,4,Dec-81,1981
kilgore slaughter, (earth-616),\/kilgore_slaughter_(earth-616),,,,blond hair,male characters,,living characters,4,Oct-81,1981
leanne, (earth-616),\/leanne_(earth-616),public identity,good characters,brown eyes,brown hair,female characters,,living characters,4,Apr-81,1981
mcmurdo, (earth-616),\/mcmurdo_(earth-616),,,,white hair,male characters,,living characters,4,Oct-81,1981
megan daemon, (earth-616),\/megan_daemon_(earth-616),,,green eyes,blond hair,female characters,,living characters,4,Mar-81,1981
piotr phobos, (earth-616),\/piotr_phobos_(earth-616),public identity,bad characters,,grey hair,male characters,,living characters,4,Apr-81,1981
ralf, (earth-616),\/ralf_(earth-616),,,,,male characters,,living characters,4,Oct-81,1981
randolph cherryh, (earth-616),\/randolph_cherryh_(earth-616),public identity,bad characters,,,male characters,,living characters,4,Dec-81,1981
sentinels mk iv, (earth-616),\/sentinels_mk_iv_(earth-616),no dual identity,bad characters,yellow eyes,no hair,,,living characters,4,Nov-81,1981
shade, (earth-616),\/shade_(gangster)_(earth-616),secret identity,bad characters,brown eyes,black hair,male characters,,living characters,4,Nov-81,1981
zira, (earth-616),\/zira_(earth-616),no dual identity,good characters,,brown hair,female characters,,living characters,4,Apr-81,1981
claw, (earth-616),\/claw_(chaste)_(earth-616),secret identity,good characters,,,male characters,,deceased characters,4,Nov-82,1982
flame, (earth-616),\/flame_(chaste)_(earth-616),,good characters,,,,,deceased characters,4,Nov-82,1982
georgianna castleberry, (earth-616),\/georgianna_castleberry_(earth-616),public identity,good characters,brown eyes,black hair,female characters,,living characters,4,Jul-82,1982
lord samedar, (earth-616),\/lord_samedar_(earth-616),public identity,good characters,white eyes,,male characters,,living characters,4,Feb-82,1982
napier sutton, (earth-616),\/napier_sutton_(earth-616),,bad characters,,black hair,male characters,,living characters,4,Oct-82,1982
nimrod strange, (earth-616),\/nimrod_strange_(earth-616),,bad characters,brown eyes,black hair,male characters,,living characters,4,Mar-82,1982
noburu-hideki, (earth-616),\/noburu-hideki_(earth-616),,bad characters,black eyes,black hair,male characters,,deceased characters,4,Sep-82,1982
petunia grimm, (earth-616),\/petunia_grimm_(earth-616),public identity,good characters,blue eyes,black hair,female characters,,deceased characters,4,Jan-82,1982
ramsey kole, (earth-616),\/ramsey_kole_(earth-616),secret identity,bad characters,brown eyes,black hair,male characters,,living characters,4,Dec-82,1982
samuel bernstein, (earth-616),\/samuel_bernstein_(earth-616),public identity,,,black hair,male characters,,living characters,4,Nov-82,1982
shango, (earth-616),\/shango_(earth-616),,good characters,brown eyes,black hair,male characters,,living characters,4,Oct-82,1982
simon marshall, (earth-616),\/simon_marshall_(earth-616),public identity,bad characters,brown eyes,blond hair,male characters,,deceased characters,4,Mar-82,1982
wraith high witch, (earth-616),\/wraith_high_witch_(earth-616),secret identity,bad characters,,grey hair,female characters,,living characters,4,Aug-82,1982
axe, (earth-616),\/axe_(mutant)_(earth-616),,bad characters,brown eyes,brown hair,male characters,,deceased characters,4,Sep-83,1983
daniel grimm jr., (earth-616),\/daniel_grimm_jr._(earth-616),,neutral characters,brown eyes,brown hair,male characters,,deceased characters,4,Jul-83,1983
gladys smallwood, (earth-616),\/gladys_smallwood_(earth-616),secret identity,good characters,,,female characters,,living characters,4,Sep-83,1983
kono sanada, (earth-616),\/kono_sanada_(earth-616),public identity,bad characters,,black hair,male characters,,living characters,4,Nov-83,1983
raleigh halward, (earth-616),\/raleigh_halward_(earth-616),secret identity,bad characters,,,male characters,,living characters,4,Feb-83,1983
alma chalmers, (earth-616),\/alma_chalmers_(earth-616),,bad characters,,grey hair,female characters,,living characters,4,Jul-84,1984
freddie stanachek, (earth-616),\/freddie_stanachek_(earth-616),public identity,neutral characters,,brown hair,male characters,,living characters,4,Oct-84,1984
gretl anders, (earth-616),\/gretl_anders_(earth-616),public identity,neutral characters,blue eyes,red hair,female characters,,deceased characters,4,Jan-84,1984
hugo longride, (earth-616),\/hugo_longride_(earth-616),public identity,bad characters,,grey hair,male characters,,living characters,4,Dec-84,1984
idiot, (earth-616),\/idiot_(earth-616),,bad characters,white eyes,,male characters,,living characters,4,Dec-84,1984
isabel st. ives, (earth-616),\/isabel_st._ives_(earth-616),secret identity,good characters,green eyes,strawberry blond hair,female characters,,deceased characters,4,Mar-84,1984
jacqueline trufaut, (earth-616),\/jacqueline_trufaut_(earth-616),public identity,bad characters,,blond hair,female characters,,living characters,4,Sep-84,1984
janet mcentee, (earth-616),\/janet_mcentee_(earth-616),,,,,female characters,,living characters,4,Jun-84,1984
kate, (earth-616),\/kate_(heartbreak_hotel)_(earth-616),,,,,female characters,,living characters,4,Dec-84,1984
malachon, (earth-616),\/malachon_(earth-616),,bad characters,,,male characters,,deceased characters,4,May-84,1984
marge smith, (earth-616),\/marge_smith_(earth-616),,bad characters,,,female characters,,living characters,4,Dec-84,1984
max hammer, (earth-616),\/max_hammer_(earth-616),public identity,bad characters,blue eyes,white hair,male characters,,living characters,4,Apr-84,1984
melissa bowen, (earth-616),\/melissa_bowen_(earth-616),public identity,neutral characters,,red hair,female characters,,living characters,4,Jan-84,1984
peg lonestar, (earth-616),\/peg_lonestar_(earth-616),,,,,female characters,,living characters,4,Aug-84,1984
raymonde belmonde, (earth-616),\/raymonde_belmonde_(earth-616),,good characters,brown eyes,brown hair,male characters,homosexual characters,deceased characters,4,Feb-84,1984
shakkoth, (earth-616),\/shakkoth_(earth-616),public identity,good characters,,black hair,male characters,,living characters,4,Sep-84,1984
shumai, (earth-616),\/shumai_(earth-616),public identity,bad characters,,black hair,male characters,,living characters,4,Nov-84,1984
smythe, (earth-616),\/smythe_(contraxia)_(earth-616),secret identity,bad characters,,black hair,male characters,,living characters,4,Jan-84,1984
white light, (earth-616),\/white_light_(earth-616),,bad characters,white eyes,black hair,male characters,,living characters,4,Dec-84,1984
zachary drebb, (earth-616),\/zachary_drebb_(earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,,deceased characters,4,Jul-84,1984
bernard finn, (earth-616),\/bernard_finn_(earth-616),no dual identity,good characters,black eyes,grey hair,male characters,,deceased characters,4,Oct-85,1985
bull of crete, (earth-616),\/bull_of_crete_(earth-616),,bad characters,,brown hair,male characters,,living characters,4,Jun-85,1985
carl weatherby, (earth-616),\/carl_weatherby_(earth-616),public identity,good characters,,blond hair,male characters,,living characters,4,Oct-85,1985
charles anderson, (earth-616),\/charles_anderson_(earth-616),public identity,,,,male characters,,living characters,4,Sep-85,1985
cherub whirlwind, (earth-616),\/cherub_whirlwind_(earth-616),secret identity,neutral characters,black eyes,no hair,,,deceased characters,4,Jul-85,1985
derwyddon, (earth-616),\/derwyddon_(earth-616),,,,,male characters,,living characters,4,Jul-85,1985
dyvyne, (earth-616),\/dyvyne_(earth-616),public identity,bad characters,yellow eyes,no hair,male characters,,living characters,4,May-85,1985
honcho, (earth-616),\/honcho_(vulturions)_(earth-616),public identity,bad characters,brown eyes,white hair,male characters,,living characters,4,Apr-85,1985
jubilee, (earth-616),\/jubilee_(darla)_(earth-616),,good characters,,,female characters,,living characters,4,Dec-85,1985
karygmax, (earth-616),\/karygmax_(earth-616),secret identity,bad characters,,black hair,male characters,,living characters,4,Oct-85,1985
snitch, (earth-616),\/snitch_(butch)_(earth-616),secret identity,good characters,,,male characters,,living characters,4,Dec-85,1985
stewart cadwall, (earth-616),\/stewart_cadwall_(earth-616),secret identity,,brown eyes,brown hair,male characters,,living characters,4,Jul-85,1985
tanaraq, (earth-616),\/tanaraq_(earth-616),public identity,,,white hair,male characters,,living characters,4,Jun-85,1985
bhadsha, (earth-616),\/bhadsha_(earth-616),secret identity,neutral characters,yellow eyes,no hair,male characters,,living characters,4,Apr-86,1986
carolyn parmentor, (earth-616),\/carolyn_parmentor_(earth-616),public identity,,,brown hair,female characters,,deceased characters,4,Mar-86,1986
chastity mcbryde, (earth-616),\/chastity_mcbryde_(earth-616),public identity,,blue eyes,blond hair,female characters,,living characters,4,Dec-86,1986
dianne bellamy, (earth-616),\/dianne_bellamy_(earth-616),,neutral characters,,,female characters,,living characters,4,Mar-86,1986
dominor, (earth-616),\/dominor_(earth-616),,bad characters,,,male characters,,deceased characters,4,Jan-86,1986
enitharmon, (earth-616),\/enitharmon_(earth-616),,good characters,,no hair,male characters,,living characters,4,Aug-86,1986
greensong, (earth-616),\/greensong_(earth-616),,good characters,,no hair,,,living characters,4,Feb-86,1986
hadj, (earth-616),\/hadj_(earth-616),secret identity,neutral characters,yellow eyes,no hair,female characters,,living characters,4,Apr-86,1986
hagen, (earth-616),\/hagen_(earth-616),public identity,bad characters,,black hair,male characters,,living characters,4,Jan-86,1986
lois, (earth-616),\/lois_(earth-616),public identity,bad characters,blue eyes,red hair,female characters,,deceased characters,4,Apr-86,1986
marandi sjorokker, (earth-616),\/marandi_sjorokker_(earth-616),,good characters,blue eyes,blond hair,female characters,,living characters,4,Aug-86,1986
red zeppelin, (earth-616),\/red_zeppelin_(earth-616),,,,black hair,male characters,,living characters,4,Apr-86,1986
richard rennsalaer, (earth-616),\/richard_rennsalaer_(earth-616),public identity,bad characters,,,male characters,,living characters,4,Sep-86,1986
tommy, (earth-616),\/tommy_(morlock)_(earth-616),secret identity,good characters,,blue hair,female characters,,deceased characters,4,Oct-86,1986
uglitha, (earth-616),\/uglitha_(earth-616),,bad characters,,,female characters,,living characters,4,May-86,1986
wesley, (earth-616),\/wesley_(earth-616),public identity,,,,male characters,,living characters,4,Feb-86,1986
yiorgos krallis, (earth-616),\/yiorgos_krallis_(earth-616),secret identity,,brown eyes,,male characters,,living characters,4,Nov-86,1986
anthony zerbe, (earth-616),\/anthony_zerbe_(earth-616),,bad characters,,blond hair,male characters,,living characters,4,Dec-87,1987
arthur van krijg, (earth-616),\/arthur_van_krijg_(earth-616),secret identity,neutral characters,,black hair,male characters,,deceased characters,4,Jul-87,1987
bahkt, (earth-616),\/bahkt_(earth-616),secret identity,bad characters,red eyes,black hair,male characters,,deceased characters,4,Jun-87,1987
blasting cap, (earth-616),\/blasting_cap_(earth-616),secret identity,,,red hair,male characters,,living characters,4,Aug-87,1987
bludgeon, (earth-616),\/bludgeon_(ucwf)_(earth-616),secret identity,bad characters,,bald,male characters,,living characters,4,Apr-87,1987
butte, (earth-616),\/butte_(earth-616),secret identity,bad characters,,,female characters,,living characters,4,Feb-87,1987
cactus, (earth-616),\/cactus_(earth-616),,bad characters,,,,,living characters,4,Feb-87,1987
charlemagne, (earth-616),\/charlemagne_(earth-616),no dual identity,,green eyes,auburn hair,female characters,,deceased characters,4,Feb-87,1987
crazy legs, (earth-616),\/crazy_legs_(earth-616),secret identity,,,brown hair,male characters,,living characters,4,Aug-87,1987
esme fernando, (earth-616),\/esme_fernando_(earth-616),secret identity,neutral characters,,black hair,female characters,,living characters,4,Jul-87,1987
grendell, (earth-616),\/grendell_(dark_elf)_(earth-616),secret identity,bad characters,white eyes,,male characters,,living characters,4,Mar-87,1987
mark diering, (earth-616),\/mark_diering_(earth-616),secret identity,bad characters,,brown hair,male characters,,living characters,4,Dec-87,1987
razor cut, (earth-616),\/razor_cut_(earth-616),secret identity,,yellow eyeballs,black hair,male characters,,living characters,4,Aug-87,1987
ripan, (earth-616),\/ripan_(earth-616),public identity,,,,male characters,,living characters,4,Oct-87,1987
willem vincent, (earth-616),\/willem_vincent_(earth-616),secret identity,neutral characters,,red hair,male characters,,deceased characters,4,Jul-87,1987
ammo, (earth-616),\/ammo_(earth-616),,bad characters,brown eyes,black hair,male characters,,living characters,4,Mar-88,1988
burnatt, (earth-616),\/burnatt_(earth-616),,,,,male characters,,living characters,4,Sep-88,1988
caleb walker, (earth-616),\/caleb_walker_(earth-616),public identity,good characters,,,male characters,,living characters,4,Sep-88,1988
dillon zarro, (earth-616),\/dillon_zarro_(earth-616),secret identity,bad characters,,brown hair,male characters,,living characters,4,Dec-88,1988
emily walker, (earth-616),\/emily_walker_(earth-616),public identity,good characters,,,female characters,,living characters,4,Sep-88,1988
ginny edwards, (earth-616),\/ginny_edwards_(earth-616),public identity,,,black hair,female characters,,living characters,4,Sep-88,1988
gloria garsen, (earth-616),\/gloria_garsen_(earth-616),public identity,good characters,,blond hair,female characters,,living characters,4,Dec-88,1988
hannah conover, (earth-616),\/hannah_conover_(earth-616),public identity,good characters,,blond hair,female characters,,living characters,4,Sep-88,1988
josey thomas, (earth-616),\/josey_thomas_(earth-616),,bad characters,,black hair,female characters,,deceased characters,4,Aug-88,1988
peter, (earth-616),\/peter_(nereel)_(earth-616),secret identity,good characters,black eyes,black hair,male characters,,living characters,4,Oct-88,1988
rick shea, (earth-616),\/rick_shea_(earth-616),secret identity,bad characters,,,male characters,,living characters,4,Sep-88,1988
tension, (earth-616),\/tension_(earth-616),secret identity,bad characters,,brown hair,male characters,,deceased characters,4,Aug-88,1988
valdor, (earth-616),\/valdor_(earth-616),public identity,good characters,,red hair,male characters,,living characters,4,Jul-88,1988
veronica langkowski, (earth-616),\/veronica_langkowski_(earth-616),public identity,bad characters,,brown hair,female characters,,living characters,4,Jun-88,1988
wild rose, (earth-616),\/wild_rose_(earth-616),secret identity,,,black hair,female characters,,living characters,4,Mar-88,1988
agrom, (earth-616),\/agrom_(earth-616),no dual identity,good characters,white eyes,black hair,male characters,,living characters,4,Oct-89,1989
chang, (earth-616),\/chang_(landau_luckman_and_lake)_(earth-616),,neutral characters,,white hair,male characters,,deceased characters,4,Mar-89,1989
dafydd ap iowerth, (earth-616),\/dafydd_ap_iowerth_(earth-616),public identity,good characters,blue eyes,black hair,male characters,,living characters,4,Mar-89,1989
eugene van der merwe, (earth-616),\/eugene_van_der_merwe_(earth-616),public identity,bad characters,,,male characters,,living characters,4,Jun-89,1989
iris green, (earth-616),\/iris_green_(earth-616),,bad characters,,black hair,female characters,,deceased characters,4,Jul-89,1989
mikhail gorbachev, (earth-616),\/mikhail_gorbachev_(earth-616),public identity,neutral characters,,white hair,male characters,,living characters,4,May-89,1989
nikoh, (earth-616),\/nikoh_(earth-616),public identity,,black eyes,no hair,male characters,,living characters,4,Oct-89,1989
ophelia jones, (earth-616),\/ophelia_jones_(earth-616),public identity,,,,female characters,,living characters,4,Jun-89,1989
phay, (earth-616),\/phay_(earth-616),,bad characters,,,male characters,,living characters,4,Jun-89,1989
phough, (earth-616),\/phough_(earth-616),,bad characters,,,male characters,,living characters,4,Jun-89,1989
phumm, (earth-616),\/phumm_(earth-616),,bad characters,,brown hair,male characters,,living characters,4,Jun-89,1989
raymond trask, (earth-616),\/raymond_trask_(earth-616),,,brown eyes,brown hair,male characters,,living characters,4,Nov-89,1989
that which endures, (earth-616),\/that_which_endures_(earth-616),secret identity,neutral characters,,no hair,,,living characters,4,Aug-89,1989
vlon, (earth-616),\/vlon_(earth-616),public identity,good characters,white eyes,black hair,male characters,,living characters,4,Sep-89,1989
wilghe, (earth-616),\/wilghe_(earth-616),public identity,good characters,black eyes,grey hair,female characters,,living characters,4,Sep-89,1989
black light, (earth-616),\/black_light_(earth-616),secret identity,bad characters,white eyes,white hair,male characters,,deceased characters,4,Jun-90,1990
blue celestial, (earth-616),\/blue_celestial_(earth-616),,,,,,,living characters,4,Oct-90,1990
clayton burr, (earth-616),\/clayton_burr_(earth-616),,bad characters,,,male characters,,living characters,4,Nov-90,1990
crimson, (earth-616),\/crimson_(earth-616),secret identity,,red eyes,blond hair,female characters,,living characters,4,May-90,1990
dai kumo, (earth-616),\/dai_kumo_(earth-616),,bad characters,,no hair,male characters,,living characters,4,Sep-90,1990
danika trevani, (earth-616),\/danika_trevani_(earth-616),public identity,neutral characters,,blond hair,female characters,,deceased characters,4,Dec-90,1990
ditmal pirvat, (earth-616),\/ditmal_pirvat_(earth-616),secret identity,neutral characters,brown eyes,black hair,male characters,,living characters,4,Nov-90,1990
emmaline watanabe, (earth-616),\/emmaline_watanabe_(earth-616),public identity,good characters,,black hair,female characters,,living characters,4,Dec-90,1990
fred bouting, (earth-616),\/fred_bouting_(earth-616),secret identity,bad characters,brown eyes,black hair,male characters,,deceased characters,4,Apr-90,1990
gordon campbell, (earth-616),\/gordon_campbell_(earth-616),,,,,male characters,,living characters,4,Feb-90,1990
hump, (earth-616),\/hump_(earth-616),secret identity,bad characters,white eyes,green hair,male characters,,living characters,4,Jul-90,1990
ian wajler, (earth-616),\/ian_wajler_(earth-616),,bad characters,,brown hair,male characters,,living characters,4,Aug-90,1990
kingsize, (earth-616),\/kingsize_(earth-616),secret identity,bad characters,black eyes,,male characters,,living characters,4,Sep-90,1990
madame reneau, (earth-616),\/madame_reneau_(earth-616),public identity,bad characters,,black hair,female characters,,living characters,4,Nov-90,1990
marty smith, (earth-616),\/marty_smith_(earth-616),,,,,male characters,,living characters,4,Nov-90,1990
merrick, (earth-616),\/merrick_(earth-616),,,,,,,living characters,4,Jul-90,1990
sagbata, (earth-616),\/sagbata_(earth-616),secret identity,,brown eyes,white hair,male characters,,living characters,4,May-90,1990
target, (earth-616),\/target_(earth-616),,good characters,,blond hair,male characters,,living characters,4,Jul-90,1990
tracy collins, (earth-616),\/tracy_collins_(earth-616),public identity,good characters,,,female characters,,living characters,4,Jul-90,1990
watcher of the calishee, (earth-616),\/watcher_of_the_calishee_(earth-616),secret identity,neutral characters,,no hair,,,living characters,4,Jul-90,1990
white noise, (earth-616),\/white_noise_(earth-616),public identity,bad characters,white eyes,white hair,female characters,,living characters,4,Jun-90,1990
aleksey lebedev, (earth-616),\/aleksey_lebedev_(earth-616),secret identity,good characters,blue eyes,brown hair,male characters,,deceased characters,4,Jun-91,1991
axl nacht, (earth-616),\/axl_nacht_(earth-616),secret identity,bad characters,blue eyes,blond hair,male characters,,living characters,4,Feb-91,1991
charles blackwater, (earth-616),\/charles_blackwater_(earth-616),secret identity,good characters,,,male characters,,living characters,4,Oct-91,1991
chester goudal, (earth-616),\/chester_goudal_(earth-616),,bad characters,,red hair,male characters,,deceased characters,4,Jul-91,1991
christine harris, (earth-616),\/christine_harris_(earth-616),public identity,,,,female characters,,living characters,4,Jun-91,1991
daemian wainscroft, (earth-616),\/daemian_wainscroft_(earth-616),public identity,neutral characters,blue eyes,white hair,male characters,,living characters,4,Jul-91,1991
derrick wainscroft, (earth-616),\/derrick_wainscroft_(earth-616),secret identity,bad characters,brown eyes,blond hair,male characters,,living characters,4,Jul-91,1991
elmar radd, (earth-616),\/elmar_radd_(earth-616),public identity,,,brown hair,female characters,,deceased characters,4,Oct-91,1991
fath, (earth-616),\/fath_(earth-616),public identity,neutral characters,blue eyes,no hair,male characters,,living characters,4,Sep-91,1991
harry tabeshaw, (earth-616),\/harry_tabeshaw_(earth-616),public identity,good characters,,black hair,male characters,,living characters,4,Nov-91,1991
hiro, (earth-616),\/hiro_(cyburai)_(earth-616),,,,black hair,male characters,,living characters,4,Feb-91,1991
jartran radd, (earth-616),\/jartran_radd_(earth-616),public identity,good characters,grey eyes,bald,male characters,,deceased characters,4,Jun-91,1991
jim sharp, (earth-616),\/jim_sharp_(earth-616),public identity,bad characters,green eyes,black hair,male characters,,living characters,4,Aug-91,1991
jocko, (earth-616),\/jocko_(earth-616),,bad characters,,,male characters,,living characters,4,Apr-91,1991
laura lipton, (earth-616),\/laura_lipton_(earth-616),public identity,neutral characters,blue eyes,brown hair,female characters,,living characters,4,Jan-91,1991
leslie anne shappe, (earth-616),\/leslie_anne_shappe_(earth-616),public identity,,brown eyes,brown hair,female characters,,living characters,4,Apr-91,1991
michael shauneghann, (earth-616),\/michael_shauneghann_(earth-616),public identity,good characters,brown eyes,black hair,male characters,,living characters,4,Aug-91,1991
mlima, (earth-616),\/mlima_(earth-616),public identity,,brown eyes,,female characters,,living characters,4,Apr-91,1991
mysteria winters, (earth-616),\/mysteria_winters_(earth-616),secret identity,bad characters,,blond hair,female characters,,living characters,4,Jul-91,1991
omar barrenos, (earth-616),\/omar_barrenos_(earth-616),public identity,neutral characters,,brown hair,male characters,,living characters,4,Feb-91,1991
phobos, (earth-616),\/phobos_(earth-616),,,,,male characters,,living characters,4,Aug-91,1991
renee fuanaro, (earth-616),\/renee_fuanaro_(earth-616),public identity,good characters,,brown hair,female characters,,living characters,4,May-91,1991
sally, (earth-616),\/sally_(earth-616),,bad characters,,,male characters,,living characters,4,Apr-91,1991
simon halloway, (earth-616),\/simon_halloway_(earth-616),public identity,good characters,,,male characters,,living characters,4,Oct-91,1991
steven partridge, (earth-616),\/steven_partridge_(earth-616),public identity,neutral characters,blue eyes,white hair,,,living characters,4,May-91,1991
