id,name,intelligence,strength,speed,durability,power,combat,full-name,alter-egos,aliases,place-of-birth,first-appearance,publisher,alignment,gender,race,height,weight,eye-color,hair-color,occupation,base,group-affiliation,relatives,url
374,Juggernaut,44.0,100.0,42.0,100.0,85.0,70.0,Cain Marko,No alter egos found.,"['Kuurth', 'Captain Universe']","Berkeley, California","X-Men #12 (July, 1965)",Marvel Comics,neutral,Male,Human,"[""9'5"", '287 cm']","['1900 lb', '855 kg']",Blue,Red,"Adventurer formerly Professional criminal, mercenary, soldier",-,"Formerly Worthy, Thunderbolts, X-Men, Excalibur, Black Tom Cassidy (partner), Exemplars, Brotherhood of Evil Mutants, New World Order, Exiles, U.S. Army","Kurt Marko (father, deceased), Marjorie Marko (mother, deceased), Sharon Xavier (step-mother, deceased), Charles Xavier (Professor X, step-brother)",https://www.superherodb.com/pictures2/portraits/10/100/826.jpg
376,Justice,50.0,10.0,33.0,70.0,55.0,30.0,Vance Astrovik,No alter egos found.,"['Marvel Boy', ""Manglin' John Mahoney"", 'Astounding Astrovik', 'Superhuman Penitentiary Prisoner 344678', '""Super Tights""']",-,"Giant-Size Defenders #5 (July, 1975)",Marvel Comics,good,Male,Human,"[""5'10"", '178 cm']","['180 lb', '81 kg']",Hazel,Brown,Adventurer,"Mobile, formerly New Warriors and Avengers Headquarters, Camp Hammond","New Warriors; formerly Avengers Academy, Initiative, partner of Firestar, Avengers, Triune Understanding, Unlimited Class Wrestling Federation, Taskmaster's Circus, Secret Avengers (Civil War)","Jerzy Astroyevicht (aka Jerry Astrovik; paternal grandfather); Katerina Astroyevicht (aka Katerina Astrovik; paternal grandmother); Arnold Astrovik (father, deceased); Norma Astrovik (mother);",https://www.superherodb.com/pictures2/portraits/10/100/88.jpg
380,Kathryn Janeway,75.0,8.0,21.0,25.0,21.0,50.0,Kathryn Janeway,No alter egos found.,['-'],"Bloomington, Indiana, Earth",-,Star Trek,good,Female,Human,"['-', '0 cm']","['- lb', '0 kg']",-,-,Fleet Commander,-,-,"Edward Janeway (father), Gretchen Janeway (mother)",https://www.superherodb.com/pictures2/portraits/10/100/10581.jpg
382,Kevin 11,25.0,7.0,12.0,14.0,100.0,40.0,Kevin Ethan Levin,No alter egos found.,"['Kevin 11,000', 'Curtis', 'Osmosian', 'Kev', 'Kevin Ethan', 'Levin', 'Ultimate Kevin', 'Doofus', 'An Empty Shell', 'Kevin E. Levin']",-,Ben 10 S01,DC Comics,good,Male,Human,"['-', '0 cm']","['- lb', '0 kg']",-,Black,-,-,-,"Mrs. Levin (mother), Devlin Levin (alternate future son), Ben Tennyson (Ben 10, best friend), Harvey Hackett (Stepfather), Gwen Tennyson(girlfriend)",https://www.superherodb.com/pictures2/portraits/10/100/1408.jpg
383,Kick-Ass,38.0,10.0,23.0,35.0,22.0,56.0,Dave Lizewski,No alter egos found.,['Kickass'],New York City,Kick Ass #1,Icon Comics,good,Male,Human,"['-', '0 cm']","['- lb', '0 kg']",Blue,Blond,Student,-,-,"Mother (unnamed, deceased), Father (unnamed)",https://www.superherodb.com/pictures2/portraits/10/100/1158.jpg
384,Kid Flash,25.0,4.0,92.0,42.0,20.0,30.0,Wallace Rudolph West,No alter egos found.,['Kid Lantern'],"Blue Valley, Nebraska","Flash #110 (January, 1960)",DC Comics,good,Male,Human,"['-', '0 cm']","['- lb', '0 kg']",Green,Red,-,-,"Flash Family, Teen Titans, New Teen Titans","Rudolph and Mary West (parents), Ira West (grandfather), Iris Allen (aunt), Barry Allen (uncle), Linda Park West (wife), Jai and Iris West (twin children)",https://www.superherodb.com/pictures2/portraits/10/100/722.jpg
386,Killer Croc,19.0,53.0,35.0,90.0,53.0,60.0,Waylon Jones,No alter egos found.,['-'],-,"Batman #357 (March, 1983)",DC Comics,bad,Male,Metahuman,"[""8'0"", '244 cm']","['790 lb', '356 kg']",Red,No Hair,-,Gotham City,Secret Society of Super-Villains,-,https://www.superherodb.com/pictures2/portraits/10/100/723.jpg
387,Killer Frost,88.0,10.0,13.0,35.0,59.0,30.0,Caitlin Snow,No alter egos found.,['-'],-,Fury of Firestorm: The Nuclear Men #19,DC Comics,bad,Female,Human,"['-', '0 cm']","['- lb', '0 kg']",Blue,Blond,Scientist,Pittsburgh,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10508.jpg
390,King Shark,50.0,88.0,50.0,90.0,86.0,40.0,Nanaue,No alter egos found.,['-'],-,Superboy Vol 4 #0,DC Comics,bad,Male,Animal,"['-', '0 cm']","['- lb', '0 kg']",Black,No Hair,Professional Criminal,"Honolulu, Hawaii",-,-,https://www.superherodb.com/pictures2/portraits/10/100/10512.jpg
391,Kingpin,75.0,18.0,25.0,40.0,13.0,70.0,Wilson Grant Fisk,No alter egos found.,"['The Brain Washer', 'Harold Howard', 'Wilbur']",New York City area,"Amazing Spider-Man #50 (July, 1967)",Marvel Comics,bad,Male,Human,"[""6'7"", '201 cm']","['450 lb', '203 kg']",Blue,No Hair,"Criminal organizer and mastermind, president and owner of legitimate businesses","A penthouse in New York City; formerly Fisk Tower in New York City, a mansion in Westchester County, Las Vegas.","Leader of The Hand, leader of a coalition of East Coast non-Maggia criminal organizations; former director of Las Vegas HYDRA faction.","Anatoly Fyskov (ancestor); Vanessa Fisk (wife, deceased); Rose (Richard Fisk) (son, deceased);",https://www.superherodb.com/pictures2/portraits/10/100/623.jpg
392,Klaw,63.0,38.0,33.0,100.0,62.0,60.0,Ulysses Klaw,No alter egos found.,['-'],"Vlaardingen, Netherlands","Fantastic Four #53 (August, 1966)",Marvel Comics,bad,Male,Human,"[""6'2"", '188 cm']","['216 lb', '97 kg']",Red,No Hair,"Criminal, former Scientist",-,"Former member of the Masters of Evil, Fearsome Foursome, and Frightful Four; Former ally of Solarr, Molecule Man, and Doctor Doom",-,https://www.superherodb.com/pictures2/portraits/10/100/1539.jpg
394,Kraven II,50.0,34.0,23.0,28.0,43.0,85.0,Alyosha Kravinoff,No alter egos found.,['-'],-,Spectacular Spider-Man #243 (1997),Marvel Comics,bad,Male,Human,"[""6'3"", '191 cm']","['220 lb', '99 kg']",Brown,Black,-,-,Formerly the Sinister Six,"Sergei Kravinoff (Kraven the Hunter, father, deceased), unidentified mother, Vladimir Kravinoff (Grim Hunter, half-brother, deceased), Nedrocci Tannengarden (half-brother, deceased), Dmitri Smerdyakov",https://www.superherodb.com/pictures2/portraits/10/100/1034.jpg
395,Kraven the Hunter,63.0,32.0,35.0,42.0,25.0,85.0,Sergei Kravinoff,No alter egos found.,"['Kraven the Hunter', ""World's Greatest Hunter"", 'the Grim Hunter']","Volgograd (formerly Stalingrad), Russia",The Amazing Spider-Man #15 (1964),Marvel Comics,bad,Male,Human,"[""6'0"", '183 cm']","['235 lb', '106 kg']",Brown,Black,"Professional game hunter, mercenary",-,(formerly) The Sinister Six,"Nikolai & Anna Makarova Kravinoff (parents, deceased), Dmitri Smerdyakov (Chameleon, half-brother), Vladimir Kravinoff (Grim Hunter, son, deceased), Aloysha ""Al"" Kravinoff (Kraven II, son), Ned Tannengarden (son, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/1033.jpg
396,Krypto,9.0,80.0,100.0,90.0,82.0,40.0,Krypto the Superdog,No alter egos found.,['-'],-,"Adventure Comics #210 (March, 1955)",DC Comics,good,Male,Kryptonian,"[""0'25"", '64 cm']","['40 lb', '18 kg']",Blue,White,-,"Smallville, Kansas",Superman,-,https://www.superherodb.com/pictures2/portraits/10/100/725.jpg
397,Kyle Rayner,69.0,90.0,50.0,60.0,100.0,60.0,Kyle Rayner,No alter egos found.,"['Ion', 'Kyle Vasquez', 'Parallax', 'Torch Bearer', 'Honor Guard', 'The Last Green Lantern']","North Hollywood, Los Angeles, California",Green Lantern Vol 3 #48,DC Comics,good,Male,Human,"[""5'11"", '180 cm']","['175 lb', '79 kg']",Green,Black,"Green Lantern, Adventurer, Artist","Oa,formerly New York City, Los Angeles","Green Lantern Corps, New Guardians, formerly Challengers From Beyond, Sinestro Corps, Justice League of America, Blue Lantern Corps, Titans","Aaron Rayner (father), Maura Rayner (mother, deceased), Zachary Rayner (uncle, deceased), Roderick ""Snowy"" Rayner (grandfather, deceased), unnamed maternal great-grandfather (deceased), Kathleen (aunt), Cary Wren (descendant)",https://www.superherodb.com/pictures2/portraits/10/100/1409.jpg
398,Kylo Ren,56.0,44.0,33.0,30.0,100.0,70.0,Ben Solo,No alter egos found.,['-'],-,Star Wars: Episode VII - The Force Awakens (2015),George Lucas,bad,Male,Human,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,-,"Han Solo (Father), Princess Leia (Mother), Luke Skywalker (Uncle)",https://www.superherodb.com/pictures2/portraits/10/100/10559.jpg
400,Lady Deathstrike,63.0,28.0,42.0,85.0,48.0,90.0,Yuriko Oyama,No alter egos found.,['Ana Cortes'],"Osaka, Japan",Alpha Flight Vol. 1 #33 (1985),Marvel Comics,bad,Female,Cyborg,"[""5'9"", '175 cm']","['128 lb', '58 kg']",Brown,Black,-,-,"Ally of Reverend William Stryker, former employee of Sabretooth, formerly Reavers","Kenji Oyama (Lord Dark Wind, father, deceased), two unnamed brothers (deceased)",https://www.superherodb.com/pictures2/portraits/10/100/810.jpg
403,Legion,50.0,100.0,42.0,30.0,100.0,75.0,David Haller,No alter egos found.,"['Jack Wayne', 'Cyndi', 'Jemail Karami', 'Daniel Lucas Haller', 'Daniel Haller', 'Rodney', 'Ian', 'Lucas', 'Fanya', 'Boris', 'Zachary', 'Sylvester', 'God-Mutant']",Israel,"New Mutants #25 (March, 1985)",Marvel Comics,good,Male,Mutant,"[""5'9"", '175 cm']","['130 lb', '59 kg']",Green / Blue,Black,"Adventurer, Student","formerly Ruth Aldine's mind, Utopia, San Francisco Bay, California; Westcliffe, Colorado; ""No-Time""; Moira MacTaggart's Mutant Research Center, Muir Island, off the coast of Scotland; Haifa; Paris, France","Formerly X-Men, Muir Island X-Men","Charles Graymalkin (paternal collateral ancestor), Marcia Graymalkin (paternal collateral ancestor), Jonas Graymalkin (paternal collateral ancestor), Brian Xavier (paternal grandfather), Sharon Xavier (paternal grandmother), Kurt Marko (paternal step-grandfather), Cain Marko (paternal step-uncle), Cassandra Nova Xavier (paternal aunt), Charles Xavier (father), Gabrielle Haller (mother), Daniel Shomron (stepfather), Xavier Family (paternal relatives), Ruth Aldine (lover/current body)",https://www.superherodb.com/pictures2/portraits/10/100/10651.jpg
404,Leonardo,75.0,16.0,50.0,65.0,59.0,80.0,Leonardo,No alter egos found.,"['Leo', 'Ghost of the Jungle', 'Splinter Jr.']",-,Teenage Mutant Ninja Turtles #1,IDW Publishing,good,Male,Mutant,"['-', '0 cm']","['- lb', '0 kg']",Blue,No Hair,Ninja,"New York, New York",-,"Donatello (brother), Michelangelo (brother), Raphael (brother)",https://www.superherodb.com/pictures2/portraits/10/100/10327.jpg
405,Lex Luthor,100.0,53.0,25.0,65.0,68.0,70.0,Lex Luthor,No alter egos found.,['-'],-,Action Comics #23,DC Comics,bad,Male,Human,"[""6'2'"", '188 cm']","['210 lb', '95 kg']",Green,No Hair,Owner of LexCorp,-,"Injustice Gang, Injustice League, Society of Supervillains","Casey and Elaine Griggs (foster parents, deceased),
Lena Luthor (sister pre-Crisis; daughter post-Crisis),
Elizabeth Perske (ex-wife),
Perry J. White Jr. (son, deceased),
Contessa Erica Alexandra del Portenza (wife, assumed deceased)",https://www.superherodb.com/pictures2/portraits/10/100/727.jpg
412,Lizard,50.0,51.0,27.0,70.0,63.0,56.0,Curtis Connors,No alter egos found.,['-'],"Coral Gables, Florida",Amazing Spider-Man #6,Marvel Comics,bad,Male,Human,"[""6'8"", '203 cm']","['510 lb', '230 kg']",Red,No Hair,Research biologist,Florida,-,"Martha (wife, deceased), Billy (son), unnamed sister",https://www.superherodb.com/pictures2/portraits/10/100/11.jpg
413,Lobo,94.0,100.0,54.0,100.0,100.0,85.0,Lobo,No alter egos found.,"['The Main Man', ""The 'Bo"", 'Master Frag', 'Mister Machete', 'Popebo; He-Who-Devours-Your-Entrails-And-Thoroughly-Enjoys-It']",-,Omega Men # 3,DC Comics,neutral,Male,Czarnian,"[""7'6"", '229 cm']","['640 lb', '288 kg']",Red,Black,"Assassin, Bounty Hunter, Priest",Mobile throughout several galaxies,"Formerly LEGION, Young Justice; First Celestial Church of the Triple Fish-God",Slobo (clone),https://www.superherodb.com/pictures2/portraits/10/100/1127.jpg
414,Loki,88.0,63.0,46.0,85.0,100.0,60.0,Loki Laufeyson,No alter egos found.,"['God of Mischief', 'Gem-Keeper', 'Walter Lawson', 'Lester', 'Loren Olsen', 'Tyfon', 'Father Williams', 'Willie', 'Tso Zhung; has also impersonated hundreds of others.']","Jotunheim, Asgard",Journey into Mystery Vol. 1 #85,Marvel Comics,bad,Male,Asgardian,"[""6'4"", '193 cm']","['525 lb', '236 kg']",Green,Black,God of evil; former god of mischief and madness,Asgard,"Asgardians, Karnilla, Enchantress, Skurge the Executioner, Cobra, Mister Hyde, Absorbing Man, Igron, Tyr, Lorelei, Hela, Ulik, Frost Giants, Storm Giants (former), Dormammu, ""Acts of Vengeance"" prime movers (Dr. Doom, Magneto, Red Skull, Mandari","Laufey (father, deceased), Farbauti (mother, deceased), Sigyn (wife, deceased), Odin (foster father, deceased), Frigga (foster mother, deceased), Thor, Vidar (foster brothers, deceased), Hela,Fenris (Wolf), Jordmungand (Midgard Serpent) (children, deceased), Arkin (cousin, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/928.jpg
416,Luke Cage,50.0,63.0,29.0,95.0,44.0,70.0,Luke Cage,Power Man,"['Carl Lucas', 'Power Man', 'Mark Lucas', 'Hero for Hire', 'Ace of Spades']","Harlem, New York City",Hero for Hire #1 (1972),Power Man,good,Male,Human,"[""6'6"", '198 cm']","['425 lb', '191 kg']",Brown,Black,"Adventurer, bar owner, bodyguard, mercenary; formerly theater owner, private investigator, various odd jobs",-,"Underground Avengers (formerly Daredevil's Unnamed Super-Hero Team), Secret Defenders, Heroes for Hire, Nightwing Restorations, Fantastic Four, Defenders, Bloods","Jessica Jones (wife), James Leonard Lucas (father), Esther (mother, deceased), James Jr. (Coldfire, brother), unnamed daughter",https://www.superherodb.com/pictures2/portraits/10/100/269.jpg
418,Luke Skywalker,69.0,38.0,42.0,25.0,100.0,100.0,Luke Skywalker,No alter egos found.,"['General Skywalker', 'Master Luke', 'Jedi']",Tatooine,Star Wars: Episode IV - A New Hope (1977),George Lucas,good,Male,Human,"[""5'6"", '168 cm']","['170 lb', '77 kg']",Blue,Blond,-,-,"Alliance to Restore the Republic, Jedi Order, Alliance of Free Planets, Bright Tree Village, New Republic, New Jedi Order","Darth Vader (father), Princes Leia (Sister), Yoda (Master), Obi-Wan Kenobi (Master)",https://www.superherodb.com/pictures2/portraits/10/100/10447.jpg
419,Luna,38.0,6.0,83.0,14.0,53.0,14.0,Luna Maximoff,No alter egos found.,['-'],"Attilan, Blue Area of the Moon",-,Marvel Comics,good,Female,Human,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,-,"Quicksilver (Pietro Maximoff, father), Magneto (grandfather), Crystal (mother), Scarlet Witch, (aunt), Polaris (aunt)",https://www.superherodb.com/pictures2/portraits/10/100/933.jpg
423,Magneto,88.0,80.0,27.0,84.0,91.0,80.0,Erik Magnus Lensherr,No alter egos found.,"['The Creator', 'Erik Magnus Lehnsherr', 'Michael Xavier', 'White Pilgrim', 'Erik the RedThe Master of Magnetism']","Unrevealed, probably somewhere in Northern Europe",X-MEN Vol. 1 #1,Marvel Comics,bad,Male,Mutant,"[""6'2"", '188 cm']","['190 lb', '86 kg']",Grey,White,"Currently Revolutionary and Conqueror, formerly Volunteer Orderly, Secret Agent","Currently unrevealed, formerly Asteroid M; various hidden bases on Earth including one in Antarctica; an island in the Bermuda Triangle; Professor Xavier's School for Gifted Youngsters, Salem Center, Westchester County, New York","Currently None, formerly Brotherhood of Evil Mutants I and II, X-Men, teacher of the New Mutants, Lords Cardinal of the Hellfire Club, leader of the Acolytes","Magda (wife, deceased), Anya (daughter, deceased), Pietro Maximoff (Quicksilver, son), Wanda Maximoff (Scarlet Witch, daughter), Lorna Dane (Polaris, daughter), Joseph (clone, deceased), Luna (granddaughter)",https://www.superherodb.com/pictures2/portraits/10/100/12.jpg
427,Man-Bat,38.0,18.0,50.0,70.0,33.0,30.0,Robert Kirkland Langstrom,No alter egos found.,['Kirk Langstrom'],"Chicago, Illinois","Detective Comics #400 (June, 1970)",DC Comics,neutral,Male,Human,"['-', '0 cm']","['- lb', '0 kg']",Brown,Brown,Zoologist,Gotham City,"Formerly Spirit Squad, The Network","Francine Langstrom (wife), Rebecca Elizabeth Langtrom (daughter); Aaron Langstrom (son); Britt Langstrom (sister); Ted Friedel (brother-in-law)",https://www.superherodb.com/pictures2/portraits/10/100/731.jpg
430,Mandarin,100.0,28.0,23.0,28.0,100.0,95.0,Khan,No alter egos found.,"['Tem Borjigin', 'Gene Kahn', 'Master Khan', 'Zhang Tong', 'Mandy']",China,"Tales of Suspense #50 (February, 1964)",Marvel Comics,bad,Male,Human,"[""6'2"", '188 cm']","['215 lb', '97 kg']",Blue,White,"Would-be conqueror; former janitor, businessman and crimelord, government administrator",Prometheus Corporation; formerly Dragon of Heaven; Palace of the Star Dragon in the Valley of Spirits.,"current CEO of Prometheus Corporation; has employed the Avatars, Living Laser, Power Man, Swordsman, Enchantress, Executioner, Sandman, and Ladykiller.","Unidentified father, mother, paternal aunt (all deceased). Mei-Ling (fianc�e, deceased), Temujin (son), Genghis Khan (alleged ancestor, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/1175.jpg
432,Martian Manhunter,100.0,95.0,92.0,100.0,100.0,85.0,J'onn J'onzz,No alter egos found.,"[""ohn Jones; J'Onn J'Onzz (alternate spelling); Big Green Buddy; J.J.; Jolly Green Giant; Light to the Light; Manhunter; Manhunter from Mars; Son of Mars; Bronze Wraith"", 'Bloodwynd', 'many others']",-,Detective Comics #225 (1955),DC Comics,good,Male,Martian,"[""6'7"", '201 cm']","['300 lb', '135 kg']",Red,No Hair,-,-,"Darkstars, Justice League of Aliens, Justice League Of America, Justice League Task Force, Justice League Unlimited, Martians, Outsiders","M'yrnn J'onzz (father, deceased); Sha'sheen J'onzz (mother, deceased); M'yri'ah (wife, deceased); K'hym (daughter, deceased); Ma'alefa'ak (twin brother); D'all (father-in-law, deceased); J'ahrl J'onzz (ancestor, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/733.jpg
435,Master Chief,75.0,73.0,35.0,80.0,69.0,100.0,John-117,No alter egos found.,"['Blue 1', 'Sierra 117', 'Spartan 117', 'Demon']","Elysium City, Eridanus II",-,Microsoft,good,Male,Human / Altered,"[""7'"", '213 cm']","['- lb', '0 kg']",Brown,Brown,Master Chief Petty Officer of the Navy,-,"United Nations Space Command, Navy",-,https://www.superherodb.com/pictures2/portraits/10/100/1110.jpg
441,Medusa,75.0,34.0,35.0,70.0,37.0,56.0,Medusalith Amaquelin Boltagon,No alter egos found.,"['Madam Medusa', 'Queen Medusa']","Island of Attilan, Atlantic Ocean",Fantastic Four Vol. 1 #36 (1965),Marvel Comics,good,Female,Inhuman,"[""5'11"", '180 cm']","['130 lb', '59 kg']",Green,Red,"Queen, Royal interpreter",Attilan,"Inhumans, Fantastic Four","Kobar, La (maternal grandparents), Azur (maternal aunt), Mander (maternal uncle-by-marriage), Quelin (father), Ambur (mother), Crystal (sister), Black Bolt (husband, second cousin), Ahura (son), Karnak (cousin), Triton (cousin), Psynapse (second cousin), Maximus (brother-in-law, second cousin), Ronan the Accuser (brother-in-law), Quicksilver (ex-brother-in-law), Luna (niece)",https://www.superherodb.com/pictures2/portraits/10/100/96.jpg
444,Mera,56.0,62.0,79.0,60.0,92.0,80.0,Mera,No alter egos found.,"['Queen of Atlantis', 'Aquawoman', 'Aquagirl', 'Water-Woman']",-,"Aquaman #11 (October, 1963)",DC Comics,good,Female,Atlantean,"[""5'9"", '175 cm']","['160 lb', '72 kg']",Blue,Red,Former queen of Atlantis; Former queen of Dimension Aqua,Atlantis,Aquaman Family; formerly Red Lantern Corps,"Aquaman (husband); Aquababy (son, deceased); A.J. (son); Siren (Hila, twin sister)",https://www.superherodb.com/pictures2/portraits/10/100/1388.jpg
445,Metallo,75.0,53.0,23.0,95.0,86.0,64.0,John Corben,No alter egos found.,['-'],-,"Superman Vol 2 #1 (January, 1987)",DC Comics,bad,Male,Android,"[""6'5"", '196 cm']","['200 lb', '90 kg']",Green,Brown,Professional criminal,"Mobile, though he generally operates out of Metropolis",Superman Revenge Squad,-,https://www.superherodb.com/pictures2/portraits/10/100/737.jpg
456,Mister Fantastic,100.0,10.0,18.0,70.0,33.0,64.0,Reed Richards,No alter egos found.,['Mr Fantastic'],"Central City, California",FANTASTIC FOUR #1,Marvel Comics,good,Male,Human / Radiation,"[""6'1"", '185 cm']","['180 lb', '81 kg']",Brown,Brown,"Scientist, adventurer",New York City,Fantastic Four,"Nathaniai (father), Evelyn (mother, deceased), Susan Storm - Invisible Woman (wife), Franklin (son), Johnny Storm - Human Torch (brother-inlaw), Cassandra (stepmother, deceased), Immortus (father's descendant, see Immortus, Kang, Rama-Tut).",https://www.superherodb.com/pictures2/portraits/10/100/408.jpg
457,Mister Freeze,75.0,32.0,12.0,70.0,37.0,28.0,Victor Fries,No alter egos found.,"['Mister Zero', 'Doctor Zero', 'Doctor Schimmell']",-,Batman #121 (Feb. 1959),DC Comics,bad,Male,Human,"[""6'0"", '183 cm']","['190 lb', '86 kg']",-,-,-,-,"Assorted Batman rogues, The Society","Nora Fries (wife, deceased, then resurrected as Lazara), Charles (Father) and Lorraine Fries (Mother)",https://www.superherodb.com/pictures2/portraits/10/100/742.jpg
458,Mister Knife,75.0,10.0,17.0,30.0,13.0,65.0,J'son,No alter egos found.,"['Jason of Spartax', 'Jason of Sparta', 'Star-Lord', 'Mr Knife']","Spartax, Spartoi Empire, near the Shi'ar Galaxy","Inhumans Vol 3 #2 (July, 2000)",Marvel Comics,bad,Male,Spartoi,"['-', '0 cm']","['- lb', '0 kg']",Blue,Brown,"Crimelord; former emperor, prince","Formerly Spartax, Spartoi Empire, near the Shi'ar Galaxy","Slaughter Lords (leader); formerly Galactic Council, ruler of the Spartoi Empire","Eson (father, deceased), Peter Quill (Star-Lord, son), Victoria (daughter)",https://www.superherodb.com/pictures2/portraits/10/100/10633.jpg
459,Mister Mxyzptlk,100.0,85.0,100.0,100.0,100.0,50.0,Mr. Mxyzptlk,No alter egos found.,['-'],-,Superman #30,DC Comics,bad,Male,God / Eternal,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/744.jpg
460,Mister Sinister,100.0,48.0,46.0,90.0,100.0,50.0,Nathaniel Essex,No alter egos found.,"['Sinister', 'Robert Windsor', 'Arnold Bocklin', 'Mike Milbury', 'Apocalypse', 'Steven Shaffran', 'Edmond Atkinson', 'Nate', 'Administrator Pearson', 'Nosferatu', 'Nathan Milbury', 'Pale Man']","London, England","Uncanny X-Men #221 (September, 1987)",Marvel Comics,bad,Male,Human / Altered,"[""6'5"", '196 cm']","['285 lb', '128 kg']",Red,Black,"Geneticist, Criminal, biologist and mutant-supremacist",Many bases throughout the world including his State Home for Foundlings and the Center for Homo Superior Medical Care.,"Marauders (founder), Nasty Boys (founder); formerly Weapon X, Third Reich","Rebecca Essex (wife, deceased), Adam Stanislaus Essex (son, deceased), N2 (creation, deceased), Madelyne Pryor (creation, deceased), Claudine Renko (clone ""daughter"")",https://www.superherodb.com/pictures2/portraits/10/100/856.jpg
461,Mister Zsasz,88.0,22.0,33.0,28.0,18.0,85.0,Victor Zsasz,No alter egos found.,['Mr Zsasz'],-,-,DC Comics,bad,Male,Human,"['-', '0 cm']","['- lb', '0 kg']",Blue,Blond,Serial Killer,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1486.jpg
462,Mockingbird,75.0,31.0,38.0,20.0,48.0,95.0,Barbara Morse,No alter egos found.,"['Barbara Morse-Barton', 'Roberta Morse', 'Agent 19', 'Huntress', 'Bobbi Van Dyne; once posed as Shooting Star']","San Diego, California","Astonishing Tales #6 (June, 1971)",Marvel Comics,good,Female,Human,"[""5'9"", '175 cm']","['135 lb', '61 kg']",Blue,Blond,"Adventurer; former counter-terrorist agent, private investigator, government operative, S.H.I.E.L.D. agent, biologist","New York City, New York","World Counterterrorism Agency; formerly Secret Avengers, New Avengers, West Coast Avengers, Avengers, Great Lakes Avengers, S.H.I.E.L.D.; partner of Hawkeye; associate of Dr. Wilma Calvin",Susan Morse (mother); Ben Morse (brother); Hawkeye (Clint Barton) (ex-husband),https://www.superherodb.com/pictures2/portraits/10/100/1328.jpg
463,MODOK,100.0,18.0,25.0,25.0,79.0,15.0,George Tarleton,No alter egos found.,"['M.O.D.O.K.', 'Mental Organism Designed Only for Killing']",-,Tales of Suspense #93,Marvel Comics,bad,Male,Cyborg,"[""12'0"", '366 cm']","['750 lb', '338 kg']",White,Brownn,"Would-be conqueror, AIM leader, terrorist; former AIM agent, technician",-,-,"M.O.D.O.K. Superior (clone), Head Case (son), Number None (son)",https://www.superherodb.com/pictures2/portraits/10/100/10438.jpg
470,Moon Knight,50.0,36.0,23.0,42.0,28.0,75.0,Marc Spector,No alter egos found.,"['Jake Lockley', 'Steven Grant', 'Yitzak Topol', 'Fist of Khonshu', 'Crescent Crusader', 'Lunar Legionnaire']","Chicago, Illinois","Werewolf by Night #32 (August, 1975)",Marvel Comics,good,Male,Human,"[""6'2"", '188 cm']","['225 lb', '101 kg']",Brown,Brown,"Adventurer, entrepreneur; former prize fighter, spy, soldier, mercenary, cab driver","New York City; formerly Spector Mansion, Long Island, Avengers Compound, California","Secret Avengers; formerly: US Marine Corps, Central Intelligence Agency (CIA), partner of Jean-Paul du Champ, partner of Raoul Bushman, partner of Midnight, West Coast Avengers, Marvel Knights, Defenders","Shadowknight (Randall Spector) (brother, deceased), Elias (father, deceased), Seth Phalkon (alleged great-great-grandfather)",https://www.superherodb.com/pictures2/portraits/10/100/415.jpg
475,Mr Immortal,50.0,10.0,8.0,100.0,69.0,30.0,Craig Hollis,No alter egos found.,['-'],-,West Coast Avengers Vol 2 #46,Marvel Comics,good,Male,Mutant,"[""6'2"", '188 cm']","['156 lb', '70 kg']",Blue,Blond,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10794.jpg
476,Mr Incredible,50.0,83.0,33.0,95.0,29.0,40.0,Robert Parr,No alter egos found.,"['Mr. I', ""The Hero's Hero"", 'Bob Parr']",-,"The Incredibles (Movies, 2004)",Dark Horse Comics,good,Male,Human,"[""6'7"", '201 cm']","['350 lb', '158 kg']",Blue,Blond,-,-,Incredible Family,"Helen Parr (Elastigirl, wife), Violet Parr(Violet, daughter), Dashiell Parr (Dash, son), Jack-jack (son)",https://www.superherodb.com/pictures2/portraits/10/100/869.jpg
479,Mysterio,81.0,10.0,17.0,40.0,82.0,70.0,Quentin Beck,No alter egos found.,"['Nicholas Macabes', 'Rudolph Hines', 'Gerdes', 'Doctor Ludwig Rinehart']","New York, New York",Amazing Spider-Man #13 (1964),Marvel Comics,bad,Male,Human,"[""5'11"", '180 cm']","['175 lb', '79 kg']",Brown,No Hair,Criminal; former Hollywood special effects designer and stunt man,"New York City, New York State (Earth-1610) formerly New York City, New York (Earth-616)",None; Former Sinister Six,"Henrietta Beck (mother), Elmore Beck (father), Vincent (uncle), Maguire Beck (Jack O'Lantern) (cousin)",https://www.superherodb.com/pictures2/portraits/10/100/1039.jpg
